"Format for IDE '%1' is not supported","Le format pour l\'EDI \'%1\' n\'est pas pris en charge"
"Client side less compilation","Compilation less coté client"
"Server side less compilation","Compilation less coté serveur"
"Front-end development workflow","Automatisation de processus coté front office"
"Workflow type","Type d\'automatisation de processus"
"Not available in production mode","Non disponible en mode production"
"Developer Client Restrictions","Restrictions client développeur"
"Allowed IPs (comma separated)","IPs autorisées (séparées par des virgules)"
"Leave empty for access from any location.","Laissez vide si vous souhaitez y accéder depuis n\'importe où."
