"There are no product types available for export.","Aucun type de produit disponible pour l\'exportation."
"Entity type model must be an instance of Magento\CatalogImportExport\Model\Import\Product\Type\AbstractType","Le modèle du type d\'entité doit être une instance de Magento\CatalogImportExport\Model\Import\Product\Type\AbstractType"
"Please enter a value for title.","Veuillez saisir une valeur pour le titre."
"This name is already being used for custom option. Please enter a different name.","Ce nom est déjà utilisé pour une option personnalisée. Merci d\'utiliser un nom différent."
"Custom options have different types.","Les options personnalisées ont des types différents."
"Every option entity must have a parent product entity.","Chaque option doit être associée à un produit."
"Please correct the parameters.","Veuillez corriger les paramètres."
