"Product View Optimization","Optimisation de vue de produit"
"Page View Optimization","Optimisation de page de vue"
"Google Analytics Content Experiments Code","Code Google Analytics du test de page de contenu"
"Experiment Code","Code du test"
"Experiment code should be added to the original page only.","Le code de test doit être ajouté uniquement sur la page originale.<br /><i>En savoir plus : https://support.google.com/analytics/answer/1745152?hl=fr</i>"
"Category View Optimization","Optimisation de vue de catégorie"
"Enable Content Experiments","Activer la fonctionnalité de test de page de contenu"
